State,Total_EV_Sales
Andaman & Nicobar,2
Andaman & Nicobar Island,78
Andhra Pradesh,77422
Arunachal Pradesh,33
Assam,6418
Bihar,31019
Chandigarh,5279
Chhattisgarh,53804
DNH and DD,355
Delhi,107312
Goa,19684
Gujarat,181389
Haryana,30797
Himachal Pradesh,2595
Jammu and K,150
Jammu and Kashmir,5821
Jharkhand,18461
Karnataka,312995
Kerala,137060
Ladakh,68
Madhya Pradesh,78979
Maharashtra,396045
Manipur,299
Meghalaya,177
Mizoram,340
Nagaland,13
Odisha,78267
Puducherry,5536
Punjab,23833
Rajasthan,150366
Sikkim,0
Tamil Nadu,200062
Tripura,562
Uttar Pradesh,95203
Uttarakhand,15127
West Bengal,30560
Maharashtra,241930
Telangana,35039
